CATALOGUENUMBER	SPECIESSUMMARY
9990296	Form_cuni
9990297	Form_cuni
9990334	Form_cuni
9990352	Form_cuni
9990360	Form_cuni
9990704	Form_cuni
9990773	Form_cuni
9990875	Form_cuni
9990906	Form_cuni
9990932	Form_cuni
9991339	Form_cuni
9991501	Form_cuni
9991517	Form_cuni
9992132	Form_cuni
9992908	Form_cuni
10025B	Form_cuni
10146B	Form_cuni
10784B	Form_cuni
11050B	Form_cuni
11136B	Form_cuni
11408B	Form_cuni
12170B	Form_cuni
12595B	Form_cuni
12648B	Form_cuni
12785B	Form_cuni
12856B	Form_cuni
12957B	Form_cuni
13474B	Form_cuni
13518B	Form_cuni
13565B	Form_cuni
13662C	Form_cuni
13947B	Form_cuni
14138C	Form_cuni
14762B	Form_cuni
14830B	Form_cuni
15296E	Form_cuni
15553B	Form_cuni
1568B	Form_cuni
15755B	Form_cuni
1582C	Form_cuni
16368C	Form_cuni
16675B	Form_cuni
16837C	Form_cuni
16949B	Form_cuni
16964B	Form_cuni
18054B	Form_cuni
18213B	Form_cuni
18484B	Form_cuni
18685B	Form_cuni
18693B	Form_cuni
19668B	Form_cuni
1974B	Form_cuni
19850C	Form_cuni
20500B	Form_cuni
2402B	Form_cuni
3215B	Form_cuni
3325B	Form_cuni
4009B	Form_cuni
4042A	Form_cuni
4057A	Form_cuni
4091B	Form_cuni
4111A	Form_cuni
4111B	Form_cuni
4123C	Form_cuni
4124C	Form_cuni
4175A	Form_cuni
4193B	Form_cuni
4201A	Form_cuni
4234A	Form_cuni
4305B	Form_cuni
4352B	Form_cuni
4385B	Form_cuni
4398A	Form_cuni
4485B	Form_cuni
4486B	Form_cuni
4497A	Form_cuni
5070B	Form_cuni
5250B	Form_cuni
5504B	Form_cuni
5689B	Form_cuni
5723B	Form_cuni
5976B	Form_cuni
6039B	Form_cuni
6560B	Form_cuni
664B	Form_cuni
6881B	Form_cuni
6952B	Form_cuni
6965B	Form_cuni
7636B	Form_cuni
7845C	Form_cuni
8348B	Form_cuni
8397B	Form_cuni
8473B	Form_cuni
8864C	Form_cuni
8894B	Form_cuni
9135B	Form_cuni
9640B	Form_cuni
9663B	Form_cuni
9815B	Form_cuni
9861B	Form_cuni
1651	Form_exse
8943	Form_exse
10599	Form_exse
10705	Form_exse
10706	Form_exse
10713	Form_exse
10883	Form_exse
14730	Form_exse
16788	Form_exse
18876	Form_exse
19603	Form_exse
9990379	Form_exse
201	Form_fusca
585	Form_fusca
649	Form_fusca
746	Form_fusca
761	Form_fusca
939	Form_fusca
1569	Form_fusca
1864	Form_fusca
1953	Form_fusca
2083	Form_fusca
2343	Form_fusca
2351	Form_fusca
2482	Form_fusca
2491	Form_fusca
2775	Form_fusca
3099	Form_fusca
3150	Form_fusca
3203	Form_fusca
3248	Form_fusca
3364	Form_fusca
3385	Form_fusca
3406	Form_fusca
3492	Form_fusca
3806	Form_fusca
4262	Form_fusca
4380	Form_fusca
4457	Form_fusca
4597	Form_fusca
4720	Form_fusca
5623	Form_fusca
6039	Form_fusca
6088	Form_fusca
6090	Form_fusca
6204	Form_fusca
6370	Form_fusca
6467	Form_fusca
6794	Form_fusca
7226	Form_fusca
7385	Form_fusca
7603	Form_fusca
7739	Form_fusca
7868	Form_fusca
8269	Form_fusca
8843	Form_fusca
8947	Form_fusca
9634	Form_fusca
9657	Form_fusca
9991	Form_fusca
10051	Form_fusca
10535	Form_fusca
10607	Form_fusca
10636	Form_fusca
10753	Form_fusca
10796	Form_fusca
10846	Form_fusca
10892	Form_fusca
12056	Form_fusca
12089	Form_fusca
12142	Form_fusca
12246	Form_fusca
12252	Form_fusca
12455	Form_fusca
12460	Form_fusca
12497	Form_fusca
12556	Form_fusca
12654	Form_fusca
12734	Form_fusca
12738	Form_fusca
12906	Form_fusca
13306	Form_fusca
13380	Form_fusca
13441	Form_fusca
13459	Form_fusca
13550	Form_fusca
13623	Form_fusca
13781	Form_fusca
13822	Form_fusca
13892	Form_fusca
14019	Form_fusca
14036	Form_fusca
14087	Form_fusca
14394	Form_fusca
14622	Form_fusca
14733	Form_fusca
14879	Form_fusca
15656	Form_fusca
15696	Form_fusca
15961	Form_fusca
16123	Form_fusca
16146	Form_fusca
16196	Form_fusca
16218	Form_fusca
16432	Form_fusca
16479	Form_fusca
16746	Form_fusca
17557	Form_fusca
17881	Form_fusca
17984	Form_fusca
18041	Form_fusca
18443	Form_fusca
18445	Form_fusca
18505	Form_fusca
18724	Form_fusca
18764	Form_fusca
18958	Form_fusca
18978	Form_fusca
19695	Form_fusca
19765	Form_fusca
19884	Form_fusca
19908	Form_fusca
9990008	Form_fusca
9990010	Form_fusca
9990072	Form_fusca
9990084	Form_fusca
9990085	Form_fusca
9990129	Form_fusca
9990273	Form_fusca
9990310	Form_fusca
9990538	Form_fusca
9990582	Form_fusca
9990714	Form_fusca
9990754	Form_fusca
9990764	Form_fusca
9990956	Form_fusca
9990977	Form_fusca
9991149	Form_fusca
9991178	Form_fusca
9991252	Form_fusca
9991273	Form_fusca
9991386	Form_fusca
9991391	Form_fusca
9991549	Form_fusca
9991659	Form_fusca
9991674	Form_fusca
9991744	Form_fusca
9991855	Form_fusca
9991870	Form_fusca
9991965	Form_fusca
9991967	Form_fusca
9992535	Form_fusca
9992689	Form_fusca
9993090	Form_fusca
9993300	Form_fusca
10311B	Form_fusca
10765B	Form_fusca
10898B	Form_fusca
12489B	Form_fusca
12585B	Form_fusca
12675B	Form_fusca
13947C	Form_fusca
15663B	Form_fusca
1568C	Form_fusca
18805B	Form_fusca
19593B	Form_fusca
19757B	Form_fusca
2085B	Form_fusca
4064B	Form_fusca
4193C	Form_fusca
4489C	Form_fusca
4797B	Form_fusca
5867B	Form_fusca
650B	Form_fusca
7576B	Form_fusca
7927B	Form_fusca
8675B	Form_fusca
17292E	Form_fusco
17335D	Form_fusco
124	Form_lema
514	Form_lema
785	Form_lema
1165	Form_lema
1179	Form_lema
1424	Form_lema
1865	Form_lema
1963	Form_lema
1988	Form_lema
2016	Form_lema
2045	Form_lema
2055	Form_lema
2068	Form_lema
2286	Form_lema
2311	Form_lema
2334	Form_lema
2401	Form_lema
2425	Form_lema
2446	Form_lema
2447	Form_lema
2451	Form_lema
3115	Form_lema
3168	Form_lema
3714	Form_lema
3962	Form_lema
5060	Form_lema
5094	Form_lema
5218	Form_lema
5357	Form_lema
5834	Form_lema
5873	Form_lema
5970	Form_lema
6025	Form_lema
7506	Form_lema
7948	Form_lema
8064	Form_lema
8800	Form_lema
8872	Form_lema
9546	Form_lema
9560	Form_lema
9665	Form_lema
9804	Form_lema
9880	Form_lema
9976	Form_lema
9985	Form_lema
10163	Form_lema
10201	Form_lema
10392	Form_lema
10463	Form_lema
10536	Form_lema
10537	Form_lema
10584	Form_lema
10675	Form_lema
10762	Form_lema
10817	Form_lema
11648	Form_lema
12049	Form_lema
12278	Form_lema
12336	Form_lema
12498	Form_lema
12655	Form_lema
12824	Form_lema
13033	Form_lema
13087	Form_lema
13107	Form_lema
13113	Form_lema
13217	Form_lema
13240	Form_lema
13296	Form_lema
13360	Form_lema
13408	Form_lema
13575	Form_lema
13642	Form_lema
13882	Form_lema
14044	Form_lema
14049	Form_lema
14268	Form_lema
14345	Form_lema
14358	Form_lema
14388	Form_lema
14389	Form_lema
14410	Form_lema
14430	Form_lema
14454	Form_lema
14530	Form_lema
14539	Form_lema
14566	Form_lema
14687	Form_lema
15341	Form_lema
15695	Form_lema
15800	Form_lema
15815	Form_lema
16154	Form_lema
16203	Form_lema
16216	Form_lema
16281	Form_lema
16413	Form_lema
16427	Form_lema
16471	Form_lema
17021	Form_lema
17093	Form_lema
17103	Form_lema
17186	Form_lema
17235	Form_lema
17250	Form_lema
17661	Form_lema
17685	Form_lema
17910	Form_lema
18111	Form_lema
18202	Form_lema
18237	Form_lema
18342	Form_lema
18426	Form_lema
18446	Form_lema
18473	Form_lema
18579	Form_lema
18794	Form_lema
18887	Form_lema
18922	Form_lema
19587	Form_lema
19700	Form_lema
19750	Form_lema
20033	Form_lema
20125	Form_lema
20151	Form_lema
20169	Form_lema
20202	Form_lema
20218	Form_lema
20230	Form_lema
20942	Form_lema
9990022	Form_lema
9990038	Form_lema
9990046	Form_lema
9990051	Form_lema
9990056	Form_lema
9990058	Form_lema
9990074	Form_lema
9990075	Form_lema
9990081	Form_lema
9990094	Form_lema
9990098	Form_lema
9990100	Form_lema
9990112	Form_lema
9990154	Form_lema
9990155	Form_lema
9990170	Form_lema
9990175	Form_lema
9990211	Form_lema
9990215	Form_lema
9990258	Form_lema
9990276	Form_lema
9990279	Form_lema
9990282	Form_lema
9990290	Form_lema
9990305	Form_lema
9990314	Form_lema
9990338	Form_lema
9990340	Form_lema
9990359	Form_lema
9990366	Form_lema
9990369	Form_lema
9990377	Form_lema
9990395	Form_lema
9990408	Form_lema
9990429	Form_lema
9990502	Form_lema
9990519	Form_lema
9990540	Form_lema
9990566	Form_lema
9990574	Form_lema
9990576	Form_lema
9990586	Form_lema
9990599	Form_lema
9990611	Form_lema
9990623	Form_lema
9990691	Form_lema
9990703	Form_lema
9990711	Form_lema
9990720	Form_lema
9990732	Form_lema
9990740	Form_lema
9990749	Form_lema
9990774	Form_lema
9990785	Form_lema
9990884	Form_lema
9990916	Form_lema
9990950	Form_lema
9990958	Form_lema
9990985	Form_lema
9990993	Form_lema
9990996	Form_lema
9990999	Form_lema
9991005	Form_lema
9991078	Form_lema
9991079	Form_lema
9991113	Form_lema
9991123	Form_lema
9991130	Form_lema
9991162	Form_lema
9991176	Form_lema
9991187	Form_lema
9991274	Form_lema
9991291	Form_lema
9991344	Form_lema
9991348	Form_lema
9991353	Form_lema
9991366	Form_lema
9991380	Form_lema
9991500	Form_lema
9991514	Form_lema
9991516	Form_lema
9991536	Form_lema
9991540	Form_lema
9991542	Form_lema
9991543	Form_lema
9991547	Form_lema
9991555	Form_lema
9991568	Form_lema
9991574	Form_lema
9991577	Form_lema
9991647	Form_lema
9991669	Form_lema
9991743	Form_lema
9991750	Form_lema
9991768	Form_lema
9991769	Form_lema
9991827	Form_lema
9991833	Form_lema
9991849	Form_lema
9991866	Form_lema
9991902	Form_lema
9991904	Form_lema
9991964	Form_lema
9992141	Form_lema
9992153	Form_lema
9992321	Form_lema
9992497	Form_lema
9992899	Form_lema
9993077	Form_lema
9993089	Form_lema
9993106	Form_lema
9993296	Form_lema
9993299	Form_lema
